Date(s) conducted,Pollster,Sample size,Labour,Labour,Labour,Conservative,Conservative,Conservative,Reform,Reform,Reform,Lib Dems,Lib Dems,Lib Dems,Green,Green,Green,Your,Your,Your,Restore,Restore,Restore
Date(s) conducted,Pollster,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1
Date(s) conducted,Pollster,Sample size,Pos.,Neg.,Net,Pos.,Neg.,Net,Pos.,Neg.,Net,Pos.,Neg.,Net,Pos.,Neg.,Net,Pos.,Neg.,Net,Pos.,Neg.,Net
17–21 Apr 2026,Ipsos[169],2262,20%,55%,–35,22%,49%,–27,27%,50%,–23,22%,37%,–15,28%,40%,–12,19%,33%,–14,19%,38%,–19
10–13 Apr 2026,More in Common[151],2011,16%,59%,–43,18%,45%,–27,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
10–12 Apr 2026,Freshwater Strategy[4],1250,25%,51%,–26,28%,47%,–19,35%,43%,–8,32%,31%,+1,34%,33%,+1,17%,42%,–25,23%,21%,+2
20–24 Mar 2026,Ipsos[173],2283,19%,54%,–35,20%,52%,–32,25%,53%,–28,22%,36%,–14,27%,39%,–12,16%,32%,–16,16%,38%,–22
20–24 Mar 2026,Ipsos[174],2518,27%,58%,–31,26%,56%,–30,30%,56%,–26,25%,48%,–23,28%,47%,–19,–,–,–,–,–,–
20 Mar 2026,Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176],Restore Britain is registered with the Electoral Commission[176]
Date(s) conducted,Pollster,Sample size,Labour,Labour,Labour,Conservative,Conservative,Conservative,Reform,Reform,Reform,Lib Dems,Lib Dems,Lib Dems,Green,Green,Green,Your,Your,Your,,,
